Date(s) conducted,Pollster,Client,Area,Sample size,Lab,Con,Ref,LD,Grn,SNP,PC,Others,Lead
26–28 Feb,Focaldata[337],,GB,1008,24%,22%,21%,14%,8%,3%,1%,5%,2
26–27 Feb,Techne[338],,UK,1643,26%,22%,25%,13%,8%,2%,—,4%,1
26 Feb,Find Out Now[339],,GB,3363,23%,21%,28%,13%,10%,3%,1%,1%,5
25–26 Feb,BMG Research[340],The i Paper,GB,1586,26%,22%,27%,12%,8%,3%,1%,1%,1
23–24 Feb,YouGov[341],Sky News / The Times,GB,2415,24%,22%,25%,16%,8%,3%,1%,2%,1
21–24 Feb,More in Common[342],,GB,2013,23%,25%,24%,16%,8%,2%,0%,2%,1
19–21 Feb,Opinium[343],The Observer,GB,2050,28%,21%,26%,12%,8%,3%,0%,2%,2
19–20 Feb,Techne[344],,UK,1639,25%,22%,26%,12%,7%,3%,—,5%,1
19 Feb,Find Out Now[345],,GB,2393,24%,20%,28%,12%,10%,2%,1%,2%,4
14–18 Feb,More in Common[346],,GB,4101,25%,23%,26%,12%,7%,2%,1%,3%,1
16–17 Feb,YouGov[347],,GB,2436,25%,21%,27%,14%,9%,3%,1%,1%,2
13–17 Feb,Lord Ashcroft Polls[348][a][b],,GB,5099,27%,23%,23%,9%,11%,2%,1%,3%,4
12–13 Feb,Techne[349],,UK,1637,26%,22%,25%,12%,8%,2%,—,5%,1
12 Feb,Find Out Now[350],,GB,3421,23%,21%,29%,12%,9%,3%,1%,2%,6
9–10 Feb,YouGov[351],,GB,2419,25%,21%,26%,14%,9%,3%,1%,1%,1
7–10 Feb,More in Common[352],,GB,2005,25%,23%,25%,12%,8%,2%,1%,3%,Tie
5–7 Feb,Opinium[353],The Observer,GB,1493,27%,22%,26%,11%,8%,3%,1%,2%,1
5–6 Feb,Techne[354],,UK,1645,25%,23%,25%,13%,7%,2%,—,5%,Tie
5 Feb,Find Out Now[355],,GB,2487,25%,18%,29%,13%,10%,3%,1%,2%,4
2–3 Feb,YouGov[356],Sky News[357],GB,2465,24%,21%,25%,14%,9%,3%,1%,2%,1
31 Jan – 3 Feb,More in Common[358],,GB,2044,24%,26%,24%,13%,6%,3%,1%,3%,2
31 Jan – 2 Feb,Freshwater Strategy[359][a],City AM,GB,1200,29%,28%,22%,9%,7%,3%,—,2%,1
29–30 Jan,Techne[360],,UK,1633,26%,23%,24%,12%,7%,3%,—,5%,2
29 Jan,Find Out Now[361],,GB,2487,23%,21%,27%,11%,10%,3%,1%,3%,4
28–29 Jan,BMG Research[362],The i Paper,GB,1514,25%,25%,24%,14%,8%,3%,1%,1%,Tie
28–29 Jan,Survation[363],,UK,1670,27%,22%,24%,13%,8%,3%,1%,4%,3
26–27 Jan,YouGov[364],The Times,GB,2523,27%,22%,23%,14%,9%,3%,1%,2%,4
24–27 Jan,More in Common[365],,GB,2009,25%,24%,25%,13%,7%,2%,1%,3%,Tie
22–29 Jan,Find Out Now/ Electoral Calculus[366] (MRP),PLMR,GB,5743,23%,23%,24%,11%,8%,3%,1%,6%,1
22–24 Jan,Opinium[367],The Observer,GB,2050,28%,21%,27%,11%,8%,3%,1%,2%,1
22–23 Jan,Whitestone Insight[368],Daily Express,GB,2012,25%,20%,24%,12%,13%,3%,1%,2%,1
22–23 Jan,Techne[369],,UK,1643,25%,24%,24%,13%,7%,2%,—,5%,1
22 Jan,Find Out Now[370],,GB,2380,22%,23%,26%,12%,10%,3%,1%,3%,3
19–20 Jan,YouGov[371],The Times,GB,2466,26%,22%,24%,14%,9%,3%,1%,2%,2
17–20 Jan,More in Common[372],,GB,2016,24%,25%,25%,12%,7%,3%,1%,3%,Tie
17–20 Jan,Deltapoll[373],Institute for Government,GB,1500,29%,25%,22%,11%,8%,3%,—,2%,4
16–20 Jan,Lord Ashcroft Polls[374][a][b],,GB,5251,28%,25%,20%,11%,9%,3%,0%,3%,3
15–16 Jan,Techne[375],,UK,1624,26%,25%,23%,12%,7%,2%,—,5%,1
15 Jan,Find Out Now[376],,GB,2386,24%,25%,25%,12%,10%,3%,1%,2%,Tie
10–14 Jan,JL Partners[377],The Sunday Times,GB,2007,26%,25%,22%,13%,9%,2%,1%,3%,1
12–13 Jan,YouGov[378],The Times,GB,2279,26%,22%,25%,14%,8%,3%,1%,2%,1
10–13 Jan,More in Common[379],,GB,1587,24%,25%,24%,12%,8%,3%,1%,3%,1
8–10 Jan,Opinium[380],The Observer,GB,2050,29%,23%,24%,10%,9%,2%,1%,2%,5
8 Jan,Find Out Now[381],,GB,2076,25%,20%,25%,11%,11%,3%,1%,2%,Tie
6–8 Jan,More in Common[382],,GB,2011,26%,26%,22%,12%,7%,3%,1%,2%,Tie
4–6 Jan,Freshwater Strategy[383][a],City AM,GB,1207,28%,29%,23%,12%,5%,3%,—,1%,1
30 Dec – 3 Jan,Deltapoll[384],Mail on Sunday,GB,1532,30%,23%,22%,12%,9%,3%,1%,1%,7
